@relation urlClassifyTrainData

@attribute Label {SOHOA,BATDONGSAN,DULICH,THOITRANG}
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric
@attribute 61 numeric
@attribute 62 numeric
@attribute 63 numeric
@attribute 64 numeric
@attribute 65 numeric
@attribute 66 numeric
@attribute 67 numeric
@attribute 68 numeric
@attribute 69 numeric
@attribute 70 numeric
@attribute 71 numeric
@attribute 72 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 75 numeric
@attribute 76 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 79 numeric
@attribute 80 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 83 numeric
@attribute 84 numeric
@attribute 85 numeric
@attribute 86 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 90 numeric

@data
SOHOA,0.001522,0.00761,0.001522,0.001522,0.16895,0.001522,0.059361,0.001522,0.394216,0.016743,0.001522,0.004566,0.001522,0.00761,0.001522,0.001522,0.001522,0.001522,0.00761,0.010654,0.010654,0.028919,0.001522,0.010654,0.001522,0.00761,0.004566,0.001522,0.001522,0.001522,0.001522,0.001522,0.004566,0.001522,0.004566,0.001522,0.001522,0.001522,0.013699,0.001522,0.004566,0.001522,0.001522,0.001522,0.004566,0.004566,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.001522,0.010654,0.001522,0.001522,0.001522,0.013699,0.001522,0.001522,0.001522,0.022831,0.001522,0.001522,0.053272,0.001522,0.001522,0.00761,0.001522,0.004566,0.001522,0.001522,0.001522,0.00761,0.001522,0.001522,0.001522,0.004566,0.004566
SOHOA,0.084886,0.022774,0.026915,0.00207,0.089027,0.014493,0.00207,0.00207,0.080745,0.006211,0.022774,0.00207,0.00207,0.00207,0.00207,0.00207,0.00207,0.00207,0.00207,0.014493,0.00207,0.018634,0.00207,0.00207,0.00207,0.00207,0.018634,0.00207,0.010352,0.006211,0.00207,0.00207,0.00207,0.00207,0.00207,0.006211,0.006211,0.00207,0.00207,0.00207,0.010352,0.00207,0.006211,0.006211,0.00207,0.05176,0.00207,0.00207,0.00207,0.00207,0.00207,0.006211,0.00207,0.00207,0.00207,0.006211,0.00207,0.00207,0.00207,0.022774,0.068323,0.006211,0.00207,0.00207,0.022774,0.180124,0.00207,0.00207,0.006211,0.006211,0.00207,0.00207,0.00207,0.010352,0.00207,0.006211,0.006211,0.00207,0.00207,0.006211,0.00207,0.014493,0.00207,0.00207,0.00207,0.00207,0.00207,0.00207,0.00207,0.010352,0.00207
THOITRANG,0.007264,0.002421,0.002421,0.002421,0.002421,0.012107,0.002421,0.016949,0.012107,0.007264,0.002421,0.002421,0.007264,0.002421,0.012107,0.002421,0.002421,0.002421,0.002421,0.012107,0.007264,0.002421,0.002421,0.026634,0.002421,0.002421,0.002421,0.002421,0.002421,0.002421,0.002421,0.002421,0.002421,0.007264,0.002421,0.007264,0.026634,0.007264,0.007264,0.007264,0.002421,0.007264,0.002421,0.002421,0.007264,0.002421,0.070218,0.002421,0.002421,0.002421,0.002421,0.389831,0.002421,0.002421,0.016949,0.002421,0.007264,0.002421,0.002421,0.012107,0.002421,0.007264,0.002421,0.002421,0.012107,0.026634,0.002421,0.002421,0.002421,0.016949,0.002421,0.002421,0.007264,0.007264,0.002421,0.002421,0.002421,0.012107,0.007264,0.050847,0.007264,0.012107,0.002421,0.002421,0.002421,0.002421,0.002421,0.002421,0.002421,0.002421,0.002421
DULICH,0.009585,0.047923,0.022364,0.003195,0.009585,0.003195,0.003195,0.003195,0.003195,0.009585,0.105431,0.003195,0.015974,0.015974,0.035144,0.009585,0.028754,0.009585,0.009585,0.003195,0.003195,0.003195,0.009585,0.003195,0.003195,0.003195,0.003195,0.003195,0.003195,0.009585,0.009585,0.003195,0.003195,0.009585,0.003195,0.003195,0.003195,0.022364,0.009585,0.003195,0.009585,0.003195,0.015974,0.003195,0.003195,0.028754,0.015974,0.003195,0.003195,0.003195,0.003195,0.009585,0.003195,0.003195,0.015974,0.009585,0.009585,0.003195,0.003195,0.060703,0.003195,0.003195,0.003195,0.009585,0.015974,0.003195,0.13738,0.009585,0.003195,0.015974,0.003195,0.003195,0.003195,0.015974,0.003195,0.003195,0.003195,0.009585,0.009585,0.009585,0.003195,0.003195,0.015974,0.003195,0.009585,0.003195,0.003195,0.003195,0.003195,0.003195,0.003195
SOHOA,0.002421,0.007264,0.002421,0.007264,0.16707,0.012107,0.002421,0.05569,0.065375,0.007264,0.002421,0.002421,0.002421,0.002421,0.002421,0.002421,0.007264,0.007264,0.021792,0.002421,0.016949,0.007264,0.002421,0.002421,0.007264,0.002421,0.012107,0.002421,0.007264,0.002421,0.002421,0.002421,0.002421,0.002421,0.007264,0.002421,0.002421,0.002421,0.007264,0.002421,0.007264,0.002421,0.002421,0.007264,0.002421,0.007264,0.002421,0.002421,0.002421,0.007264,0.002421,0.03632,0.007264,0.007264,0.002421,0.007264,0.002421,0.002421,0.002421,0.002421,0.026634,0.002421,0.007264,0.007264,0.002421,0.210654,0.012107,0.012107,0.016949,0.002421,0.002421,0.002421,0.007264,0.007264,0.002421,0.007264,0.002421,0.002421,0.002421,0.021792,0.002421,0.002421,0.007264,0.007264,0.002421,0.002421,0.002421,0.002421,0.002421,0.007264,0.007264
DULICH,0.00107,0.00107,0.00107,0.00107,0.003209,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.617112,0.003209,0.00107,0.003209,0.00107,0.005348,0.00107,0.00107,0.00107,0.003209,0.003209,0.00107,0.00107,0.003209,0.00107,0.005348,0.00107,0.00107,0.00107,0.00107,0.003209,0.00107,0.00107,0.00107,0.003209,0.007487,0.009626,0.005348,0.00107,0.00107,0.00107,0.00107,0.00107,0.003209,0.003209,0.00107,0.013904,0.00107,0.003209,0.00107,0.005348,0.003209,0.00107,0.00107,0.00107,0.00107,0.00107,0.009626,0.007487,0.00107,0.00107,0.00107,0.00107,0.00107,0.003209,0.003209,0.00107,0.00107,0.003209,0.00107,0.080214,0.00107,0.003209,0.00107,0.005348,0.003209,0.00107,0.00107,0.041711,0.005348,0.013904,0.011765,0.003209,0.005348,0.00107,0.024599,0.00107,0.009626,0.00107,0.00107
DULICH,0.002309,0.002309,0.002309,0.002309,0.002309,0.016166,0.002309,0.006928,0.002309,0.002309,0.025404,0.002309,0.002309,0.025404,0.006928,0.002309,0.006928,0.006928,0.002309,0.016166,0.006928,0.006928,0.011547,0.002309,0.002309,0.006928,0.006928,0.002309,0.002309,0.006928,0.006928,0.002309,0.006928,0.006928,0.002309,0.002309,0.002309,0.011547,0.011547,0.002309,0.006928,0.002309,0.002309,0.002309,0.002309,0.048499,0.002309,0.006928,0.016166,0.002309,0.002309,0.034642,0.006928,0.002309,0.002309,0.048499,0.002309,0.011547,0.002309,0.016166,0.006928,0.002309,0.002309,0.006928,0.002309,0.062356,0.099307,0.030023,0.002309,0.006928,0.002309,0.002309,0.011547,0.002309,0.002309,0.016166,0.006928,0.002309,0.025404,0.062356,0.002309,0.011547,0.016166,0.04388,0.011547,0.002309,0.006928,0.002309,0.002309,0.066975,0.006928
THOITRANG,0.012694,0.021157,0.009873,0.015515,0.00141,0.004231,0.00141,0.00141,0.00141,0.009873,0.00141,0.00141,0.012694,0.057828,0.015515,0.00141,0.00141,0.004231,0.004231,0.007052,0.00141,0.004231,0.00141,0.026798,0.004231,0.00141,0.023977,0.00141,0.00141,0.023977,0.012694,0.007052,0.004231,0.004231,0.004231,0.00141,0.007052,0.00141,0.004231,0.00141,0.004231,0.00141,0.00141,0.00141,0.004231,0.015515,0.00141,0.00141,0.007052,0.004231,0.00141,0.489422,0.00141,0.004231,0.00141,0.00141,0.00141,0.00141,0.00141,0.00141,0.00141,0.00141,0.00141,0.00141,0.007052,0.009873,0.00141,0.00141,0.00141,0.004231,0.00141,0.00141,0.007052,0.004231,0.00141,0.00141,0.00141,0.004231,0.009873,0.040903,0.00141,0.00141,0.00141,0.004231,0.00141,0.00141,0.00141,0.004231,0.00141,0.004231,0.00141
THOITRANG,0.018868,0.008086,0.002695,0.045822,0.002695,0.013477,0.002695,0.002695,0.002695,0.002695,0.002695,0.002695,0.008086,0.16442,0.013477,0.008086,0.002695,0.013477,0.008086,0.008086,0.008086,0.002695,0.002695,0.002695,0.002695,0.002695,0.008086,0.002695,0.002695,0.002695,0.002695,0.013477,0.008086,0.008086,0.002695,0.008086,0.002695,0.002695,0.024259,0.002695,0.018868,0.002695,0.002695,0.002695,0.002695,0.02965,0.002695,0.132075,0.002695,0.008086,0.002695,0.126685,0.002695,0.008086,0.002695,0.008086,0.002695,0.002695,0.002695,0.002695,0.002695,0.002695,0.002695,0.002695,0.002695,0.013477,0.002695,0.002695,0.008086,0.018868,0.002695,0.002695,0.002695,0.008086,0.008086,0.002695,0.008086,0.008086,0.008086,0.013477,0.008086,0.008086,0.008086,0.002695,0.002695,0.002695,0.002695,0.002695,0.018868,0.002695,0.002695
THOITRANG,0.001934,0.009671,0.001934,0.001934,0.001934,0.001934,0.005803,0.009671,0.001934,0.009671,0.001934,0.001934,0.009671,0.094778,0.009671,0.005803,0.048356,0.001934,0.001934,0.009671,0.001934,0.005803,0.005803,0.005803,0.005803,0.001934,0.005803,0.001934,0.001934,0.001934,0.005803,0.052224,0.001934,0.005803,0.001934,0.005803,0.017408,0.001934,0.032882,0.001934,0.001934,0.001934,0.017408,0.001934,0.001934,0.009671,0.01354,0.005803,0.001934,0.005803,0.001934,0.323017,0.001934,0.001934,0.001934,0.001934,0.001934,0.005803,0.001934,0.009671,0.001934,0.001934,0.001934,0.001934,0.001934,0.005803,0.01354,0.001934,0.001934,0.001934,0.001934,0.021277,0.001934,0.009671,0.001934,0.001934,0.009671,0.001934,0.001934,0.059961,0.005803,0.005803,0.001934,0.005803,0.001934,0.005803,0.001934,0.001934,0.001934,0.001934,0.005803
DULICH,0.006369,0.001737,0.002895,0.000579,0.000579,0.000579,0.000579,0.000579,0.000579,0.009844,0.000579,0.000579,0.004053,0.000579,0.002895,0.000579,0.000579,0.001737,0.000579,0.004053,0.004053,0.001737,0.000579,0.001737,0.000579,0.000579,0.004053,0.008686,0.01216,0.009844,0.000579,0.000579,0.095541,0.009844,0.002895,0.000579,0.001737,0.013318,0.038796,0.001737,0.004053,0.005211,0.006369,0.009844,0.000579,0.002895,0.001737,0.000579,0.001737,0.000579,0.000579,0.011002,0.01795,0.000579,0.000579,0.002895,0.000579,0.038796,0.314418,0.000579,0.000579,0.000579,0.000579,0.004053,0.009844,0.000579,0.19861,0.000579,0.004053,0.01216,0.011002,0.053851,0.000579,0.001737,0.000579,0.002895,0.000579,0.001737,0.000579,0.000579,0.000579,0.002895,0.001737,0.000579,0.004053,0.002895,0.000579,0.005211,0.000579,0.002895,0.000579
SOHOA,0.040169,0.002114,0.002114,0.002114,0.107822,0.006342,0.145877,0.040169,0.171247,0.002114,0.002114,0.002114,0.002114,0.006342,0.002114,0.002114,0.002114,0.031712,0.002114,0.006342,0.002114,0.014799,0.002114,0.002114,0.006342,0.002114,0.006342,0.006342,0.002114,0.002114,0.002114,0.002114,0.006342,0.002114,0.002114,0.002114,0.031712,0.006342,0.002114,0.002114,0.002114,0.014799,0.002114,0.006342,0.002114,0.006342,0.002114,0.002114,0.006342,0.002114,0.002114,0.052854,0.002114,0.010571,0.006342,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.010571,0.006342,0.002114,0.035941,0.002114,0.014799,0.002114,0.002114,0.002114,0.010571,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.044397,0.010571,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114
